ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
2,2,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15364,18/02/2022,Análisis de riesgos y contingencias (Fondo de Contingencias),15_04_Comunic_Recibidas/2022/CI004_GP-15364_070200_CON_0273_ANALISIS_RIESG_CONTINGENCIAS.pdf
1,1,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-15436,15/03/2022,"Comunicado ALMA-2022-0345 con radicado ANI No. 20224090273702 –Ajuste Informe Gerencial Concesionario No. 88, febrero de 2022 – Contrato de Interventoría 145 de 2014 - Proyecto Girardot - Honda - Puerto Salgar. Consorcio 4C.",15_04_Comunic_Recibidas/2022/CI004_GP-15436_070500_ANI_006958-1_AJUSTE_INF_MEN_N88.pdf
3,1,CONCESION ALTO MAGDALENA S.A.S.,CI004(6P4756(22)7.1.8,CONSORCIO 4C,GP-15203,05/01/2022,Entrega informe Técnico de manejo silvicultural No 1. Expediente 62717.,15_04_Comunic_Recibidas/2022/CI004_GP-15203_070108_CON_0029_INF_TEC_SILVICULT_EXP_62717.pdf
4,1,,,CONSORCIO 4C,GP-15249,25/01/2022,Respuesta a su comunicado con radicado ANI No. 20214091405142 del 02 de diciembre de 2021 – revisión frente a la modificación de la Póliza de Responsabilidad Civil Extracontractual – Cobertura para el Otrosí No. 6 del 27 de octubre de 2021 – Contrato de Interventoría No. 145 de 2014 – Proyecto Girardot – Honda – Puerto Salgar,15_04_Comunic_Recibidas/2022/CI004_GP-15249_010000_ANI_001621-1_MODIF_POLIZA_RCE.pdf
5,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15509,01/04/2022,"Entrega informe de los mantenimientos realizados en el primer año, segundo año y tercer año del establecimiento de la medida compensatoria en cumplimiento de la Resolución Nº 0296 del 16 de febrero del 2016 prorrogada con la Resolución Nº 2416 del 11 de septiembre de 2017. Expediente 51494",15_04_Comunic_Recibidas/2022/CI004_GP-15509_070108_CON_0454_ENTREG_INF_EXP_51494.pdf
7,23,Fiduciaria Bogotá,,CONSORCIO 4C,GP-15649,10/05/2022,"Notificación pago fondo de seguridad vial FOSEVI mes de enero, febrero y marzo 2022.",15_04_Comunic_Recibidas/2022/CI004_GP-15649_070208_FBTA_SINNUMERO_FOSEVI_ENE_FEB_MAR22.pdf
8,2,GLOBAL LOGISTICA DE TRANSPORTE S.A.S.,,CONSORCIO 4C,GP-15963,13/10/2021,NOTIFICACION MOVILIZACION CARGA EXTRADIMENSIONADA Y/O EXTRAPESADA REF: CARTA DE PORTE Y PESO,15_04_Comunic_Recibidas/2022/CI004_GP-15963_070300_GLOBALLOGIS_SINNUMERO_SCTUD_PASO.pdf
6,1,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-16235,09/09/2022,"Remisión Circular - Por medio de la cual se indica la manera en que debe reportarse la Información de los dispositivos SIT (sistemas inteligentes para la infraestructura, el tránsito y el transporte) en ANISCOPIO – Proyecto Girardot – Honda – Puerto Salgar. –Circular No 20226070000344 Contrato de Concesión No. 003 del 2014.Concesion Alto Magdalena S.A.S.",15_04_Comunic_Recibidas/2022/CI004_GP-16235_070300_ANI_028062-1_CIRCULAR_REPOR_INF_SIT_ANISCOPIO.pdf
9,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15708,20/05/2022,MEDICIÓN DE PERCEPCIÓN DEL CLIENTE PERIODO 2021,15_04_Comunic_Recibidas/2022/CI004_GP-15708_070102_CON_0688_MEDI_PERCEPCION_CLIENTE_2021.pdf
10,2,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15793,08/06/2022,Respuesta comunicado CI. 004 / GP9997 / 22 / 5.3 (Rad. Int. ALMA-R-2022-0658) – Solicitud Paz y salvo FONTUR.,15_04_Comunic_Recibidas/2022/CI004_GP-15793_050300_CON_0783_SCTUD_PAZ_SALVO_FONTUR.pdf
11,8,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15936,01/07/2022,Aviso y alerta temprana posibles afectaciones laterales al cauce normal del Río Grande de la Magdalena.,15_04_Comunic_Recibidas/2022/CI004_GP-15936_070108_CON_0999_AVISO_POSIB_AFECT_RMAGDALENA.pdf
12,6,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15236,21/01/2022,"Solicitud trámite de conformidad con la Resolución No. 0716 de 2015, para la obtención de permiso de ocupación temporal de la infraestructura vial nacional de carreteras concesionadas.",15_04_Comunic_Recibidas/2022/CI004_GP-15236_070109_CON_0065_TRAMITE_CONFOR_RES_0716.pdf
13,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0814,CONSORCIO 4C,GP-15809,10/10/2022,Respuesta comunicación No. 15489 (Rad. Int. ALMA-R-2022-0451 - 18/02/2022),15_04_Comunic_Recibidas/2022/CI004_GP-15809_070300_CON_0814_RTA_COMUNICACION_N15489.pdf
14,2,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-15310,04/02/2022,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM 03216000680 del 13/07/2021 (Rad. Int. ALMA-R-2021-1824 del 06/12/2021). Expediente 51891,15_04_Comunic_Recibidas/2022/CI004_GP-15310_070108_CON_0185_PAG_SEG_AMB_EXP_51891.pdf
16,2,GLOBAL LOGISTICA DE TRANSPORTE S.A.S.,,CONSORCIO 4C,GP-15833,13/10/2021,NOTIFICACION MOVILIZACION CARGA EXTRADIMENSIONADA Y/O EXTRAPESADA REF: CARTA DE PORTE Y PESO,15_04_Comunic_Recibidas/2022/CI004_GP-15833_070300_GLOBALLOGIS_SINNUMERO_SCTUD_PASO.pdf
15,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1018,CONSORCIO 4C,GP-15949,06/07/2022,Cumplimiento de la obligación de pago por el servicio de seguimiento y control ambiental. Auto DRAM 03226000735 de 08/06/2022 (Rad. Interno ALMA-R-2022-0805 del 10/06/2022). Expediente 51861.,15_04_Comunic_Recibidas/2022/CI004_GP-15949_070108_CON_1018_PAG_SEG_CTROL_AMB_EXP_51861.pdf
